70314,'70314-Mrs. Otto Schneider',97,'2.8','Private Room','Boston',41,true'
70315,'70315-Verlie Leannon',155,'3.2','Shared Room','Seattle',90,false'
70316,'70316-Andreanne Walter',74,'3.5','Shared Room','Boston',87,true'
70317,'70317-Ruben Hauck',152,'1.6','Shared Room','Paris',63,false'
70318,'70318-Camille Quigley',94,'0.1','Private Room','Boston',99,false'
70319,'70319-Roscoe Eichmann',146,'1.9','Entire Home','Houston',43,false'
70320,'70320-Alfreda O''Kon',166,'2.7','Shared Room','Houston',91,true'
70321,'70321-Jovani Kemmer',71,'0.7','Entire Home','Los Angeles',33,false'
70322,'70322-Casandra Pacocha',91,'2.9','Shared Room','Los Angeles',3,false'
70323,'70323-Mrs. Conner McGlynn',193,'1.8','Private Room','Paris',104,true'
70324,'70324-Dangelo Braun Sr.',60,'1.2','Shared Room','Houston',21,false'
70325,'70325-Alvis Gottlieb',120,'3.7','Shared Room','New York',90,true'
70326,'70326-Candida Auer',82,'2.5','Shared Room','Seattle',95,true'
70327,'70327-Moriah Friesen',95,'4.2','Entire Home','San Francisco',92,true'
70328,'70328-Dr. Wilbert Quigley',108,'2.5','Entire Home','Austin',13,false'
70329,'70329-Judge Ortiz',165,'3.4','Shared Room','Boston',113,true'
70330,'70330-Everardo DuBuque Sr.',99,'4.7','Private Room','Houston',16,false'
70331,'70331-Hailie Mayert',140,'1.0','Entire Home','New York',82,false'
70332,'70332-Cassandre Balistreri',56,'0.8','Entire Home','San Francisco',82,false'
70333,'70333-Carlee Lang',175,'1.5','Entire Home','Seattle',89,true'
70334,'70334-Dr. Kara Schmeler',138,'1.0','Shared Room','Austin',22,true'
70335,'70335-Josianne Mertz',149,'1.7','Private Room','Houston',35,false'
70336,'70336-Belle Stoltenberg',93,'3.5','Shared Room','San Francisco',10,false'
70337,'70337-Lessie Schulist',90,'4.2','Shared Room','Los Angeles',56,true'
70338,'70338-Burdette Jacobson',68,'3.4','Shared Room','Paris',75,false'
70339,'70339-Jammie Lehner',163,'3.5','Private Room','Paris',110,true'
70340,'70340-Ms. Samanta Schuster',161,'0.9','Shared Room','Boston',54,true'
70341,'70341-Toney Crooks',74,'2.6','Shared Room','Paris',98,true'
70342,'70342-Reese Lakin',127,'1.4','Private Room','Boston',99,true'
70343,'70343-Pink Bechtelar II',155,'4.7','Entire Home','Los Angeles',108,false'
70344,'70344-Christian Bode',100,'1.1','Entire Home','Boston',9,false'
70345,'70345-Ms. Armando Welch',176,'2.3','Shared Room','New York',93,true'
70346,'70346-Vidal Leannon',183,'4.7','Private Room','New York',79,false'
70347,'70347-Allan Keebler',75,'4.2','Shared Room','Austin',50,false'
70348,'70348-Florida Stiedemann',108,'1.8','Entire Home','Houston',75,true'
70349,'70349-Jamarcus Hintz PhD',157,'1.5','Private Room','New York',60,false'
70350,'70350-Willie Gibson',140,'2.2','Shared Room','New York',28,false'
70351,'70351-Roberto Rolfson III',85,'2.6','Shared Room','Los Angeles',56,false'
70352,'70352-Miss Hermina Lubowitz',152,'4.6','Private Room','New York',75,false'
70353,'70353-Selina Hegmann',167,'1.5','Entire Home','Los Angeles',3,false'
70354,'70354-Rolando Johns',182,'4.4','Entire Home','Paris',9,false'
70355,'70355-Tremaine O''Keefe',189,'4.4','Private Room','Paris',114,true'
70356,'70356-Diana Dare III',167,'4.6','Shared Room','Austin',15,false'
70357,'70357-Lyric Wehner',148,'4.3','Shared Room','Austin',90,true'
70358,'70358-Carlotta Reichel',56,'2.8','Private Room','New York',84,true'
70359,'70359-Juliet Feest',161,'0.8','Private Room','Houston',69,false'
70360,'70360-Mrs. Perry Daniel',174,'3.8','Entire Home','New York',27,false'
70361,'70361-Danyka Auer II',124,'2.7','Private Room','Houston',2,false'
70362,'70362-Hilario Kris',85,'1.7','Shared Room','Paris',48,true'
70363,'70363-Clinton Hickle',196,'4.5','Entire Home','Seattle',49,true'
70364,'70364-Elmer Ortiz',134,'2.8','Entire Home','Seattle',109,false'
70365,'70365-Jarvis Funk',124,'0.1','Shared Room','San Francisco',92,false'
70366,'70366-Abe Langworth',191,'4.8','Shared Room','Austin',19,false'
70367,'70367-Dr. Mitchel Klocko',109,'0.2','Shared Room','Houston',47,true'
70368,'70368-Keegan Rempel',171,'0.8','Shared Room','Houston',27,false'
70369,'70369-Adalberto Koch I',147,'0.0','Entire Home','Boston',86,true'
70370,'70370-Joy Boyle',80,'1.9','Entire Home','Seattle',24,true'
70371,'70371-Dale Hammes',171,'4.8','Shared Room','Paris',89,false'
70372,'70372-Prince Wiza',119,'1.3','Entire Home','Houston',6,false'
70373,'70373-Miss Roman Pagac',72,'2.7','Private Room','New York',104,false'
70374,'70374-Eriberto Armstrong',161,'2.7','Private Room','Houston',0,false'
70375,'70375-Coty Lemke',57,'2.4','Private Room','Austin',118,true'
70376,'70376-Mr. Stephanie Osinski',129,'2.7','Private Room','San Francisco',3,false'
70377,'70377-Tyree Leffler',76,'1.9','Private Room','Seattle',93,false'
70378,'70378-Pearlie Sawayn',184,'0.6','Entire Home','Paris',19,false'
70379,'70379-Audreanne Koss',78,'0.3','Private Room','Houston',110,true'
70380,'70380-Mrs. Cristina Dooley',66,'0.6','Entire Home','Paris',0,false'
70381,'70381-Leonor West',70,'3.4','Shared Room','Los Angeles',75,true'
70382,'70382-Christophe Schmeler',85,'0.5','Private Room','Boston',28,true'
70383,'70383-Adonis Paucek',103,'3.1','Shared Room','Seattle',61,false'
70384,'70384-Julian Dicki',55,'0.4','Entire Home','Austin',77,true'
70385,'70385-Delfina Macejkovic',108,'4.1','Private Room','Houston',64,false'
70386,'70386-George Rosenbaum',95,'1.7','Shared Room','Seattle',87,true'
70387,'70387-Giles Stokes',186,'1.7','Private Room','Paris',118,false'
70388,'70388-Lonzo Bailey DVM',56,'2.3','Shared Room','Paris',87,false'
70389,'70389-Jennings O''Conner',159,'0.2','Entire Home','Seattle',116,true'
70390,'70390-Keyshawn Monahan I',133,'0.4','Shared Room','Austin',54,true'
70391,'70391-Germaine Leffler',150,'2.2','Entire Home','San Francisco',70,false'
70392,'70392-Bethel Frami',167,'2.2','Private Room','Austin',104,true'
70393,'70393-Brenda Considine',73,'2.7','Shared Room','Houston',67,false'
70394,'70394-Rosemarie Lueilwitz',89,'2.9','Entire Home','Seattle',59,true'
70395,'70395-Urban Block',148,'1.3','Entire Home','Houston',104,true'
70396,'70396-Lee Nicolas',78,'3.2','Shared Room','Austin',46,false'
70397,'70397-Christophe Wisozk',199,'5.0','Entire Home','Boston',6,true'
70398,'70398-Marshall Tremblay',184,'3.5','Shared Room','Austin',67,true'
70399,'70399-Delilah Bauch',155,'4.4','Shared Room','Austin',13,false'
70400,'70400-Shirley Beahan',164,'4.3','Entire Home','New York',102,false'
70401,'70401-Ms. Lacey Swift',78,'2.6','Entire Home','San Francisco',86,false'
70402,'70402-Jamar Ruecker',163,'4.3','Private Room','New York',49,false'
70403,'70403-Marcia Hilpert',85,'2.4','Entire Home','Seattle',25,true'
70404,'70404-Drew Bailey',181,'2.3','Entire Home','Seattle',100,true'
70405,'70405-Ms. Darien Hilpert',151,'3.6','Entire Home','New York',97,false'
70406,'70406-Annie Reichert',69,'2.2','Shared Room','Houston',32,true'
70407,'70407-Isidro Oberbrunner',51,'3.6','Entire Home','Los Angeles',97,false'
70408,'70408-Orlo Gerlach',71,'4.2','Shared Room','San Francisco',112,true'
70409,'70409-Mrs. Stevie Botsford',118,'4.5','Shared Room','Seattle',30,false'
70410,'70410-Mr. Kyler Veum',177,'1.9','Entire Home','San Francisco',25,true'
70411,'70411-Dexter Kiehn',131,'3.1','Private Room','San Francisco',32,true'
70412,'70412-Corene Hackett',91,'0.1','Private Room','Seattle',71,false'
70413,'70413-Abbey Rath',73,'0.1','Shared Room','San Francisco',113,false'
70414,'70414-Cruz Raynor',169,'2.9','Entire Home','Seattle',86,true'
70415,'70415-Carlo Lind',83,'4.3','Shared Room','New York',69,true'
70416,'70416-Antonina Stoltenberg',196,'4.8','Shared Room','Seattle',90,true'
70417,'70417-Polly Bahringer',196,'1.7','Shared Room','Los Angeles',88,true'
70418,'70418-Yvonne O''Keefe',185,'0.3','Shared Room','Seattle',11,true'
70419,'70419-Lucinda Gottlieb',119,'1.7','Shared Room','New York',49,false'
70420,'70420-Mrs. Serenity Kuhlman',88,'3.7','Shared Room','Austin',12,true'
70421,'70421-Cullen Klein',132,'2.5','Private Room','Austin',32,true'
70422,'70422-Miss Rowan Senger',64,'1.8','Shared Room','Paris',65,false'
70423,'70423-Austin Lebsack',135,'4.7','Private Room','Paris',18,false'
70424,'70424-Jonas Metz',197,'0.5','Entire Home','Paris',69,true'
70425,'70425-Ms. Dessie Mraz',89,'3.9','Private Room','New York',66,false'
70426,'70426-Brianne Torphy',178,'2.4','Shared Room','Paris',96,true'
70427,'70427-Clementine Yost',146,'4.7','Private Room','Austin',13,true'
70428,'70428-Guido Zulauf',150,'2.6','Shared Room','San Francisco',74,true'
